STATION,STATION_NAME,DATE,HPCP
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110703 21:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110704 23:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110705 02:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110706 09:00,0.03
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110706 10:00,0.03
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110706 11:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110706 12:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110708 15:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110708 16:00,0.56
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110708 17:00,0.04
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110708 18:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110708 23:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110713 14:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110713 15:00,0.95
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110713 16:00,0.10
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110719 18:00,0.24
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110719 23:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110720 00:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110722 17:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110725 13:00,0.15
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110725 14:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110725 15:00,0.02
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110725 16:00,0.03
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110801 01:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 06:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 07:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 08:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 10:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 11:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 12:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 13:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 14:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 15:00,0.05
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 16:00,0.14
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 19:00,0.03
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 20:00,0.04
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 21:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 22:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110803 23:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110804 00:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110804 03:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110804 04:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110806 17:00,0.04
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110806 19:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110806 20:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110806 21:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110806 22:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110807 00:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110807 01:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110807 16:00,0.30
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110807 17:00,0.36
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110807 18:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110813 09:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110813 12:00,0.22
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110813 13:00,0.15
